إجمالي المرشحين الأصلي: 172
المدرجون في الملف النهائي: 160
المتبقي غير محسوم تلقائيًا: 12

مسار جداريات وسط غلاسكو | City Centre Mural Trail | unresolved
داماسكينو | Damasqino Restaurant & Cafe | unresolved
شاطئ كورال | Coral Beach Skye | unresolved
رصيف سانت أندروز | St Andrews Pier | unresolved
ميناء سانت مونانز | St Monans Harbour | unresolved
مسارات أوبن كلوز دندي | Open Close Dundee | unresolved
النسيج العظيم لاسكتلندا | The Great Tapestry of Scotland | unresolved
غالاوي فورست بارك | Galloway Forest Park | unresolved
متجر الحداد الشهير في غريتنا غرين | Gretna Green Famous Blacksmiths Shop | unresolved
كيتشن كوز آند يوز | Kitchen Coos and Ewes | unresolved
شاطئ كيلدونان | Kildonan Beach Arran | unresolved
ميناء توبرموري | Tobermory Harbour | unresolved
