Arabic,English,Category,Region,Latitude,Longitude,Source display
الحدائق المخفية,The Hidden Gardens,حديقة,غلاسكو,55.8400712,-4.2678094,"The Hidden Gardens, Strathbungo, Glasgow, Glasgow City, Alba / Scotland, United Kingdom"
كوينز بارك,Queen's Park Glasgow,حديقة ومطل,غلاسكو,55.8314201,-4.2702266,"Queen's Park, Strathbungo, Glasgow, Glasgow City, Alba / Scotland, United Kingdom"
ذا هيدن لين,The Hidden Lane,حي فني,غلاسكو,55.8641207,-4.2833613,"The Hidden Lane Tearoom, 1103, Argyle Street, Cranstonhill, Kelvingrove, Sandyford, Glasgow, Glasgow City, Alba / Scotland, G3 8ND, United Kingdom"
بروفاندز لوردشيب,Provand's Lordship,منزل تاريخي,غلاسكو,55.8623705,-4.2369257,"Provand's Lordship, 3, Castle Street, Townhead, Glasgow, Glasgow City, Alba / Scotland, G4 0RH, United Kingdom"
متحف شرطة غلاسكو,Glasgow Police Museum,متحف,غلاسكو,55.8579848,-4.2451088,"Glasgow Police Museum, 30, Bell Street, Laurieston, Merchant City, Glasgow, Glasgow City, Alba / Scotland, G1 1LQ, United Kingdom"
رانجيتس كيتشن,Ranjit's Kitchen,مطعم نباتي,غلاسكو,55.8375261,-4.2685648,"Ranjit's Kitchen, 607, Pollokshaws Road, Shawmoss, Strathbungo, Glasgow, Glasgow City, Alba / Scotland, G41 2QG, United Kingdom"
أوتومان كوفي هاوس,Ottoman Coffeehouse,مقهى,غلاسكو,55.8651038,-4.2752199,"Ottoman Coffeehouse, 73, Berkeley Street, Cranstonhill, Kelvingrove, Sandyford, Glasgow, Glasgow City, Alba / Scotland, G3 7DX, United Kingdom"
حدائق إنفرنيس النباتية,Inverness Botanic Gardens,حديقة نباتية,إنفرنيس,57.4623331,-4.2402563,"Inverness Botanic Gardens, Bught, Ballifeary, Inverness, Highland, Alba / Scotland, IV3 5SS, United Kingdom"
جزر نيس,Ness Islands,منتزه,إنفرنيس,57.464031,-4.2305264,"Ness Islands, Bught, Ballifeary, Inverness, Highland, Alba / Scotland, IV2 4QS, United Kingdom"
ممشى نهر نيس,River Ness Walk,ممشى,إنفرنيس,57.4694308,-4.2303116,"River Cottage, 12a, Ness Walk, Bught, Ballifeary, Inverness, Highland, Alba / Scotland, IV3 5SQ, United Kingdom"
شاطئ دوريس,Dores Beach,شاطئ,لوخ نيس,57.3839291,-4.3363447,"Dores Beach, Dores, Highland, Alba / Scotland, United Kingdom"
غابة خليج أوركهارت,Urquhart Bay Woods,غابة,لوخ نيس,57.3339816,-4.4666973,"Urquhart Bay Wood, Borlum, Drumnadrochit, Highland, Alba / Scotland, United Kingdom"
شلالات بلودا,Plodda Falls,شلال,الهايلاند,57.2723581,-4.859604,"Plodda Falls, Highland, Alba / Scotland, United Kingdom"
شلالات شين,Falls of Shin,شلال,الهايلاند,57.9606078,-4.4070648,"Falls of Shin, Highland, Alba / Scotland, United Kingdom"
مطل بيلاك نا با,Bealach na Ba Viewpoint,مطل,الهايلاند,57.4187466,-5.7087854,"Bealach na Bà, Highland, Alba / Scotland, United Kingdom"
شاطئ أكميلفيتش,Achmelvich Beach,شاطئ,الهايلاند,58.1701481,-5.3072216,"Achmelvich Beach, Achmelvich, Highland, Alba / Scotland, United Kingdom"
قرية شيلديغ,Shieldaig,قرية,الهايلاند,57.5234507,-5.6495898,"Shieldaig, Highland, Alba / Scotland, IV54 8XW, United Kingdom"
منارة نيست بوينت,Neist Point Lighthouse,منارة ومطل,جزيرة سكاي,57.423388,-6.7882368,"Neist Point Lighthouse, Waterstein Road, Upper Milovaig, Borrodale, Glendale, Highland, Alba / Scotland, IV55 8WT, United Kingdom"
