المرشحون: 172
تمت إضافتهم بعد الفلترة والتحقق: 128
تعذر تحديدهم تلقائيًا: 44
مستبعدون/مكررون: 0

FAILED GEOCODE:
مسار جداريات وسط غلاسكو | City Centre Mural Trail | فن شوارع | غلاسكو
داماسكينو | Damasqino Restaurant & Cafe | مطعم حلال | غلاسكو
مسار لوخ نيس 360 | Loch Ness 360 Trail | مسار | لوخ نيس
أقفال دوخغاروخ | Dochgarroch Locks | قناة وأقفال | إنفرنيس
شاطئ بالناكيل | Balnakeil Beach | شاطئ | الهايلاند
ميناء أولابول | Ullapool Harbour | ميناء | أولابول
إمبير كافيه | Ember Kafe Inverness | مقهى ومطعم حلال | إنفرنيس
فيري غلين | The Fairy Glen Skye | طبيعة | جزيرة سكاي
شاطئ كورال | Coral Beach Skye | شاطئ | جزيرة سكاي
براذرز بوينت | Brother's Point | ساحل وممشى | جزيرة سكاي
ميناء إلجول | Elgol Harbour | ميناء ومطل | جزيرة سكاي
مطل بواخيل إتيف مور | Buachaille Etive Mor Viewpoint | مطل | غلينكو
مطل لوخ أختريوختان | Loch Achtriochtan Viewpoint | مطل | غلينكو
شاطئ لوخ مورليتش | Loch Morlich Beach | بحيرة وشاطئ | أفيمور
غابة روثيميركوس | Rothiemurchus Forest | غابة | أفيمور
مركز لوخ غارتن للطبيعة | RSPB Loch Garten Nature Centre | محمية وطبيعة | أفيمور
مضيق كيليكرانكي | Killiecrankie Gorge | مضيق وممشى | بيتلوتشري
قفزة الجندي | Soldier's Leap Killiecrankie | معلم طبيعي | كيليكرانكي
هايلاند شوكولاتير | The Highland Chocolatier | شوكولاتة ومقهى | غراندتولي
ذا لودج فورست فيزيتور سنتر | The Lodge Forest Visitor Centre | غابة ومركز زوار | أبيرفويل
رصيف سانت أندروز | St Andrews Pier | رصيف | سانت أندروز
ميناء سانت مونانز | St Monans Harbour | ميناء | فايف
مسارات أوبن كلوز دندي | Open Close Dundee | فن شوارع | دندي
وايلد شور دندي | Wildshore Dundee | ترفيه مائي | دندي
النسيج العظيم لاسكتلندا | The Great Tapestry of Scotland | متحف وتجربة ثقافية | غالا شيلز
غالاوي فورست بارك | Galloway Forest Park | غابة ومنتزه | دومفريز وغالاوي
غري ميرز تيل | Grey Mare's Tail Nature Reserve | شلال ومحمية | موفات
قلعة وحدائق دراملانريغ | Drumlanrig Castle and Gardens | قلعة وحدائق | دومفريز وغالاوي
متجر الحداد الشهير في غريتنا غرين | Gretna Green Famous Blacksmiths Shop | معلم تاريخي ومتجر | غريتنا غرين
ويغتاون بلدة الكتب | Wigtown Book Town | بلدة ثقافية | ويغتاون
كيتشن كوز آند يوز | Kitchen Coos and Ewes | مزرعة وتجربة | دومفريز وغالاوي
كيلبورن كاسل إستيت | Kelburn Castle and Estate | قلعة وحدائق | أيرشاير
قلعة وحدائق بروديك | Brodick Castle Garden and Country Park | قلعة ومنتزه | جزيرة أران
دوائر ماتشري مور الحجرية | Machrie Moor Stone Circles | موقع أثري | جزيرة أران
شاطئ كيلدونان | Kildonan Beach Arran | شاطئ | جزيرة أران
وست كيلبرايد بلدة الحرف | West Kilbride Craft Town | بلدة وتسوق | أيرشاير
قلعة ومتحف دونولي | Dunollie Museum Castle and Grounds | قلعة ومتحف | أوبان
ميناء توبرموري | Tobermory Harbour | ميناء | جزيرة مول
خليج كالغاري | Calgary Bay Mull | شاطئ | جزيرة مول
قلعة ومتحف لويس | Lews Castle Museum nan Eilean | قصر ومتحف | جزيرة لويس
مطل سيليبوست | Seilebost Viewpoint | مطل | هاريس
منحدرات يسنابي | Yesnaby Cliffs | ساحل ومطل | أوركني
منحدرات إشانيس | Eshaness Cliffs | ساحل ومطل | شيتلاند
مطل موكل فلوغا | Muckle Flugga Viewpoint | مطل | شيتلاند

FILTERED:

FINAL:
الحدائق المخفية | The Hidden Gardens | حديقة | 55.8400712,-4.2678094 | The Hidden Gardens, Strathbungo, Glasgow, Glasgow City, Alba / Scotland, United Kingdom
كوينز بارك | Queen's Park Glasgow | حديقة ومطل | 55.8314201,-4.2702266 | Queen's Park, Strathbungo, Glasgow, Glasgow City, Alba / Scotland, United Kingdom
ذا هيدن لين | The Hidden Lane | حي فني | 55.8641207,-4.2833613 | The Hidden Lane Tearoom, 1103, Argyle Street, Cranstonhill, Kelvingrove, Sandyford, Glasgow, Glasgow City, Alba / Scotland, G3 8ND, United Kingdom
بروفاندز لوردشيب | Provand's Lordship | منزل تاريخي | 55.8623705,-4.2369257 | Provand's Lordship, 3, Castle Street, Townhead, Glasgow, Glasgow City, Alba / Scotland, G4 0RH, United Kingdom
متحف شرطة غلاسكو | Glasgow Police Museum | متحف | 55.8579848,-4.2451088 | Glasgow Police Museum, 30, Bell Street, Laurieston, Merchant City, Glasgow, Glasgow City, Alba / Scotland, G1 1LQ, United Kingdom
رانجيتس كيتشن | Ranjit's Kitchen | مطعم نباتي | 55.8375261,-4.2685648 | Ranjit's Kitchen, 607, Pollokshaws Road, Shawmoss, Strathbungo, Glasgow, Glasgow City, Alba / Scotland, G41 2QG, United Kingdom
أوتومان كوفي هاوس | Ottoman Coffeehouse | مقهى | 55.8651038,-4.2752199 | Ottoman Coffeehouse, 73, Berkeley Street, Cranstonhill, Kelvingrove, Sandyford, Glasgow, Glasgow City, Alba / Scotland, G3 7DX, United Kingdom
حدائق إنفرنيس النباتية | Inverness Botanic Gardens | حديقة نباتية | 57.4623331,-4.2402563 | Inverness Botanic Gardens, Bught, Ballifeary, Inverness, Highland, Alba / Scotland, IV3 5SS, United Kingdom
جزر نيس | Ness Islands | منتزه | 57.4640310,-4.2305264 | Ness Islands, Bught, Ballifeary, Inverness, Highland, Alba / Scotland, IV2 4QS, United Kingdom
ممشى نهر نيس | River Ness Walk | ممشى | 57.4694308,-4.2303116 | River Cottage, 12a, Ness Walk, Bught, Ballifeary, Inverness, Highland, Alba / Scotland, IV3 5SQ, United Kingdom
شاطئ دوريس | Dores Beach | شاطئ | 57.3839291,-4.3363447 | Dores Beach, Dores, Highland, Alba / Scotland, United Kingdom
غابة خليج أوركهارت | Urquhart Bay Woods | غابة | 57.3339816,-4.4666973 | Urquhart Bay Wood, Borlum, Drumnadrochit, Highland, Alba / Scotland, United Kingdom
شلالات بلودا | Plodda Falls | شلال | 57.2723581,-4.8596040 | Plodda Falls, Highland, Alba / Scotland, United Kingdom
شلالات شين | Falls of Shin | شلال | 57.9606078,-4.4070648 | Falls of Shin, Highland, Alba / Scotland, United Kingdom
مطل بيلاك نا با | Bealach na Ba Viewpoint | مطل | 57.4187466,-5.7087854 | Bealach na Bà, Highland, Alba / Scotland, United Kingdom
شاطئ أكميلفيتش | Achmelvich Beach | شاطئ | 58.1701481,-5.3072216 | Achmelvich Beach, Achmelvich, Highland, Alba / Scotland, United Kingdom
قرية شيلديغ | Shieldaig | قرية | 57.5234507,-5.6495898 | Shieldaig, Highland, Alba / Scotland, IV54 8XW, United Kingdom
منارة نيست بوينت | Neist Point Lighthouse | منارة ومطل | 57.4233880,-6.7882368 | Neist Point Lighthouse, Waterstein Road, Upper Milovaig, Borrodale, Glendale, Highland, Alba / Scotland, IV55 8WT, United Kingdom
متحف ستافين للديناصورات | Staffin Dinosaur Museum | متحف | 57.6122690,-6.1778531 | Staffin Dinosaur Museum, A855, Cùl nan Cnoc, Stafainn, Highland, Alba / Scotland, IV51 9JD, United Kingdom
متحف حياة الجزيرة | Skye Museum of Island Life | متحف | 57.6602158,-6.3689445 | Skye Museum of Island Life, A855, Hungladar, Cille Mhoire, Highland, Alba / Scotland, IV51 9UE, United Kingdom
شلالات ليلت | Lealt Falls | شلال | 57.5653936,-6.1527298 | Lealt Falls, Highland, Alba / Scotland, United Kingdom
جسر سليغاشان القديم | Sligachan Old Bridge | جسر ومعلم | 57.2898076,-6.1732737 | The Sligachan old bridge, Sligachan, Highland, Alba / Scotland, IV47 8SW, United Kingdom
